ID,Treatment,Age,TreatmentxAge,Abundance,ASV,Family,Genus
T21-15,Probiotics HT,Day 15,Probiotics HTDay 15,5,ASV7,Rhodobacteraceae,Celeribacter
T21-3,Probiotics HT,Day 03,Probiotics HTDay 03,120,ASV7,Rhodobacteraceae,Celeribacter
T21-6,Probiotics HT,Day 06,Probiotics HTDay 06,31,ASV7,Rhodobacteraceae,Celeribacter
T21-S-1,Probiotics HT,Spat,Probiotics HTSpat,5,ASV7,Rhodobacteraceae,Celeribacter
T21-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T3-1,Probiotics HT,Day 01,Probiotics HTDay 01,1341,ASV7,Rhodobacteraceae,Celeribacter
T3-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T3-3,Probiotics HT,Day 03,Probiotics HTDay 03,91,ASV7,Rhodobacteraceae,Celeribacter
T3-6,Probiotics HT,Day 06,Probiotics HTDay 06,28,ASV7,Rhodobacteraceae,Celeribacter
T3-S-1,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T3-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T7-15,Control,Day 15,ControlDay 15,13,ASV7,Rhodobacteraceae,Celeribacter
T7-3,Control,Day 03,ControlDay 03,138,ASV7,Rhodobacteraceae,Celeribacter
T7-6,Control,Day 06,ControlDay 06,34,ASV7,Rhodobacteraceae,Celeribacter
T7-S-1,Control,Spat,ControlSpat,1,ASV7,Rhodobacteraceae,Celeribacter
T7-S-2,Control,Spat,ControlSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T8-1,Probiotics,Day 01,ProbioticsDay 01,836,ASV7,Rhodobacteraceae,Celeribacter
T8-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T8-3,Probiotics,Day 03,ProbioticsDay 03,182,ASV7,Rhodobacteraceae,Celeribacter
T8-6,Probiotics,Day 06,ProbioticsDay 06,22,ASV7,Rhodobacteraceae,Celeribacter
T8-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV7,Rhodobacteraceae,Celeribacter
T8-S-2,Probiotics,Spat,ProbioticsSpat,21,ASV7,Rhodobacteraceae,Celeribacter
T9-1,Probiotics HT,Day 01,Probiotics HTDay 01,838,ASV7,Rhodobacteraceae,Celeribacter
T9-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV7,Rhodobacteraceae,Celeribacter
T9-3,Probiotics HT,Day 03,Probiotics HTDay 03,140,ASV7,Rhodobacteraceae,Celeribacter
T9-6,Probiotics HT,Day 06,Probiotics HTDay 06,46,ASV7,Rhodobacteraceae,Celeribacter
T9-S-1,Probiotics HT,Spat,Probiotics HTSpat,9,ASV7,Rhodobacteraceae,Celeribacter
T9-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV7,Rhodobacteraceae,Celeribacter
A-1,Algae,Day 01,AlgaeDay 01,0,ASV18,Rhodobacteraceae,Celeribacter
A-15,Algae,Day 15,AlgaeDay 15,0,ASV18,Rhodobacteraceae,Celeribacter
A-3,Algae,Day 03,AlgaeDay 03,0,ASV18,Rhodobacteraceae,Celeribacter
A-6,Algae,Day 06,AlgaeDay 06,85,ASV18,Rhodobacteraceae,Celeribacter
T1-1,Control,Day 01,ControlDay 01,0,ASV18,Rhodobacteraceae,Celeribacter
